Ticker,Report Date,Publish Date,Revenue,Net Income,Operating Income (Loss)
BA,2010-12-31,2011-02-09,16550000000,1164000000,1026000000
BA,2011-03-31,2011-04-27,14910000000,586000000,938000000
BA,2011-06-30,2011-07-27,16543000000,941000000,1426000000
BA,2011-09-30,2011-10-26,17727000000,1098000000,1662000000
BA,2011-12-31,2012-02-09,19555000000,1393000000,1495000000
BA,2012-03-31,2012-04-25,19383000000,923000000,1519000000
BA,2012-06-30,2012-07-25,20005000000,967000000,1499000000
BA,2012-09-30,2012-10-24,20008000000,1032000000,1440000000
BA,2012-12-31,2013-02-11,22302000000,978000000,1560000000
BA,2013-03-31,2013-04-24,18893000000,1106000000,1461000000
BA,2013-06-30,2013-07-24,21815000000,1088000000,1673000000
BA,2013-09-30,2013-10-23,22130000000,1158000000,1745000000
BA,2013-12-31,2014-02-14,23785000000,1233000000,1449000000
BA,2014-03-31,2014-04-23,20465000000,965000000,1483000000
BA,2014-06-30,2014-07-23,22045000000,1653000000,1724000000
BA,2014-09-30,2014-10-22,23784000000,1362000000,2027000000
BA,2014-12-31,2015-02-12,24468000000,1466000000,1962000000
BA,2015-03-31,2015-04-22,22149000000,1336000000,1939000000
BA,2015-06-30,2015-07-22,24543000000,1110000000,1633000000
BA,2015-09-30,2015-10-21,25849000000,1704000000,2503000000
BA,2015-12-31,2016-02-10,23573000000,1026000000,1095000000
BA,2016-03-31,2016-04-27,22632000000,1219000000,1730000000
BA,2016-06-30,2016-07-27,24755000000,-234000000,-503000000
BA,2016-09-30,2016-10-26,23898000000,2279000000,2214000000
BA,2016-12-31,2017-02-08,23286000000,1631000000,2097000000
BA,2017-03-31,2017-04-26,20976000000,1451000000,1941000000
BA,2017-06-30,2017-07-26,22739000000,1761000000,2498000000
BA,2017-09-30,2017-10-25,24309000000,1853000000,2640000000
BA,2017-12-31,2018-02-12,25368000000,3132000000,2974000000
BA,2018-03-31,2018-04-25,23382000000,2477000000,2797000000
BA,2018-06-30,2018-07-25,24258000000,2196000000,2701000000
